rank,disease_name,total_cases,annual_avg_cases,peak_weekly_cases,incidence_rate_per_100k,trend_slope,trend_pvalue,trend_r_value,mann_kendall_tau,mann_kendall_pvalue,cagr,trend_direction,outbreak_threshold,outbreak_frequency,avg_outbreak_duration,outbreak_intensity,mean_cases,std_dev,coefficient_variation,iqr,total_cases_score,annual_avg_cases_score,peak_weekly_cases_score,incidence_rate_per_100k_score,cagr_score,outbreak_frequency_score,outbreak_intensity_score,coefficient_variation_score,volume_score,trend_score,outbreak_score,variability_score,composite_burden_score,non_zero_weeks,sufficient_data,trend_reliable,outbreak_detectable,volume_criterion,trend_criterion,outbreak_criterion,variability_criterion,composite_score,tier
11,Legionellosis,205,22.77777777777778,5,3.5964912280701755,-0.0005264175319172052,0.0254163309183243,-0.10309326971098773,-0.08281429023206016,0.02395451416006716,-8.153899898059858,Decreasing,1.823241513088664,3,2.0,,0.43617021276595747,0.6935356501613533,159.0057344272371,1.0,0.08708248197817416,0.08708248197817417,0.27917364600781686,0.08708248197817417,70.45590867268304,37.5,,6.062699125326976,0.13510527298558483,70.45590867268304,18.75,6.062699125326976,22.32742414616404,162,true,true,true,0.08708248197817417,70.45590867268304,18.75,6.062699125326976,22.308215029761076,Low
12,Rubella,199,22.11111111111111,5,3.491228070175439,-0.0025644722778379605,1.2388164950945257e-26,-0.46535885434621893,-0.38366376300769994,7.618018906926e-26,-40.68105239111125,Decreasing,1.9203593829315952,7,3.0,,0.42340425531914894,0.7484775638062233,176.77610803463566,1.0,0.08453372640808125,0.08453372640808125,0.27917364600781686,0.08453372640808127,45.504058970961694,87.5,,6.893634229457707,0.13319370630801514,45.504058970961694,43.75,6.893634229457707,21.213337359682285,142,true,true,true,0.08453372640808125,45.504058970961694,43.75,6.893634229457707,21.19387336772231,Low
13,Typhoid,537,59.666666666666664,11,9.421052631578947,-0.0018030190556905137,0.000019064982248951157,-0.19582609157822095,-0.18769396288488904,6.626811042586873e-8,-12.285542771025126,Decreasing,3.6436385612914526,2,2.0,7.5,1.1425531914893616,1.2505426849010448,109.45159439543598,2.0,0.22811362352331474,0.22811362352331474,0.6141820212171971,0.22811362352331477,67.28649099895827,25.0,2.5943396226415096,3.7455686351559634,0.32463072294678536,67.28649099895827,13.797169811320755,3.7455686351559634,20.272744296455826,306,true,true,true,0.22811362352331474,67.28649099895827,13.797169811320755,3.7455686351559634,20.234137456686437,Low
14,Pertussis,457,50.77777777777778,9,8.017543859649122,0.00156341788241916,0.0002826917698296318,0.16674029076146601,0.1340688514908405,0.00012516646786501812,-9.507285751558026,Increasing,3.51936582471181,1,3.0,5.0,0.9723404255319149,1.2735126995899482,130.97395378715,2.0,0.19413021592207605,0.19413021592207608,0.5025125628140703,0.19413021592207605,69.41771510771801,12.5,1.4150943396226416,4.751944997150241,0.2712258026450746,69.41771510771801,6.9575471698113205,4.751944997150241,19.56722028152233,240,true,true,true,0.19413021592207608,69.41771510771801,6.9575471698113205,4.751944997150241,19.53638204683313,Low
15,Mumps,4213,468.1111111111111,19,73.91228070175438,-0.007441910729780907,1.0955218579723776e-10,-0.2919304133947009,-0.2080965197157924,8.458860272336266e-11,-7.524644113973878,Decreasing,15.888576120603801,0,0.0,,8.963829787234042,3.462373166684879,38.62604767011377,4.0,1.7896512028002327,1.789651202800233,1.0608598548297041,1.789651202800233,70.93861602777065,0.0,,0.433796224314855,1.6074533658076007,70.93861602777065,0.0,0.433796224314855,18.44270478691293,469,true,true,true,1.7896512028002327,70.93861602777065,0.0,0.433796224314855,18.515583921709982,Low
16,Pneumococcal Disease (invasive),1203,133.66666666666666,11,21.105263157894736,-0.003534781901384988,7.503738444655405e-9,-0.26258387510355985,-0.19516347353962976,4.466965022600757e-9,-15.301821953830231,Decreasing,6.216308087954524,0,0.0,,2.5595744680851062,1.8283668099347095,71.4324522584633,3.0,0.5110254918036269,0.5110254918036269,0.6141820212171971,0.5110254918036269,64.97267810544227,0.0,,1.9678097355122564,0.5368146241570194,64.97267810544227,0.0,1.9678097355122564,16.753066836350214,412,true,true,true,0.5110254918036269,64.97267810544227,0.0,1.9678097355122564,16.742751183408856,Low
17,Encephalitis,161,17.88888888888889,5,2.8245614035087723,-0.0020102573112021076,4.198437204477185e-20,-0.4062502932011471,-0.3677160071808801,1.4576071962752418e-23,-100.0,Decreasing,1.6867309901988157,3,2.3333333333333335,,0.3425531914893617,0.6720888993547269,196.19986502901966,1.0,0.06839160779749287,0.06839160779749288,0.27917364600781686,0.0683916077974929,0.0,37.5,,7.8018808368345365,0.12108711735007388,0.0,18.75,7.8018808368345365,4.96871697246521,119,true,true,true,0.06839160779749287,0.0,18.75,7.8018808368345365,4.947638768644178,Low
18,Campylobacterenterosis,2138,237.55555555555554,20,37.50877192982456,-0.00003712177968561254,0.9899950039687766,-0.0007799333566029273,-0.014557580409636218,0.7355768373179887,,Stable,15.377477446739388,0,0.0,,8.191570881226054,3.5929532827566666,43.861590589311966,4.0,0.9082065681431041,0.9082065681431042,1.1166945840312674,0.9082065681431043,,0.0,,0.678607982179845,0.960328572115145,0.0,0.0,0.678607982179845,0.4859226261730347,260,true,false,true,0.9082065681431042,,0.0,0.678607982179845,,Low
19,Viral Hepatitis E,409,45.44444444444444,9,7.175438596491229,0.0011453756386633465,0.34485939322252235,0.05870104587634421,0.03629623473415489,0.4268338815147683,,Stable,4.512911647459201,0,0.0,,1.5670498084291187,1.472930919515041,93.99388019399161,2.0,0.17374017136133282,0.17374017136133282,0.5025125628140703,0.17374017136133288,,0.0,,3.022772500231001,0.2559332692245172,0.0,0.0,3.022772500231001,0.555789182724457,190,true,false,true,0.17374017136133282,,0.0,3.022772500231001,,Low
20,Viral Hepatitis A,377,41.888888888888886,7,6.614035087719298,-0.005281416837089383,5.532043343246402e-6,-0.27704284968149046,-0.2243744059290639,9.969968034045886e-7,,Decreasing,4.3225967482255845,0,0.0,,1.4444444444444444,1.4390761518905701,99.62834897703947,2.0,0.16014680832083733,0.16014680832083736,0.3908431044109436,0.16014680832083736,,0.0,,3.2862378616465846,0.21782088234336391,0.0,0.0,3.2862378616465846,0.5800640321843332,179,true,true,true,0.16014680832083733,,0.0,3.2862378616465846,,Low
